name,source_file,record_id,SMILES,poly_diff_5ns_value,Degree of polymerization,salt_molality_mol_per_kg_polymer,target_total_atoms,repeat_unit_mw_g_mol,repeat_unit_atom_count,short length,chain_mw_g_mol,chain_atom_count,litfsi_mw_g_mol,litfsi_atom_count,litfsi_per_chain_ideal,litfsi_per_chain_nearest_int,Num_chains,Num_LiTFSI,system_total_atom_count,system_actual_litfsi_per_chain,system_actual_molality_mol_per_kg_polymer,left_cap,right_cap
poly_765,cv_9.csv,9-0-33225561-0,CC(C)(C)C(OC(=O)*)C(=O)NCC#CCO*,8.35162476636497e-09,150,1.5,100000,225.244,31,4,33786.6,4650,287.088,16,50.6799,51,19,963,103758,50.684211,1.500128,*C,*C
poly_766,cv_9.csv,9-0-538227953-0,O=C(*)OCCCNCCCO*,4.726041647922264e-08,150,1.5,100000,159.185,24,4,23877.75,3600,287.088,16,35.816625,36,24,860,100160,35.833333,1.5007,*C,*C
poly_767,cv_9.csv,9-0-1119506534-0,CCOCCCNC(=O)C(CO*)NC(=O)*,1.6514213267936493e-08,150,1.5,100000,216.237,31,4,32435.55,4650,287.088,16,48.653325,49,19,924,103134,48.631579,1.49933,*C,*C
poly_768,cv_9.csv,9-0-1119512703-0,CN(CCOCCOC(=O)*)C(=O)CO*,1.9778059740380543e-08,150,1.5,100000,203.194,27,4,30479.1,4050,287.088,16,45.71865,46,21,960,100410,45.714286,1.499857,*C,*C
poly_769,cv_9.csv,9-0-413639798-0,CCN(CCOCCO*)C(C)COC(=O)*,4.7566918271563354e-08,150,1.5,100000,217.265,34,4,32589.75,5100,287.088,16,48.884625,49,18,880,105880,48.888889,1.500131,*C,*C
poly_770,cv_9.csv,9-0-246282792-0,CCC(C)N(CCN*)CCOC(=O)*,2.3226757526008968e-08,150,1.5,100000,186.255,31,4,27938.25,4650,287.088,16,41.907375,42,19,796,101086,41.894737,1.499548,*C,*C
poly_771,cv_9.csv,9-0-413670082-0,CC(NCCOCCCO*)C(C)OC(=O)*,6.181905808740005e-08,150,1.5,100000,217.265,34,4,32589.75,5100,287.088,16,48.884625,49,18,880,105880,48.888889,1.500131,*C,*C
poly_772,cv_9.csv,9-0-413610163-0,CC(CCN(C)CCOCCOC(=O)*)O*,4.736069947990418e-08,150,1.5,100000,217.265,34,4,32589.75,5100,287.088,16,48.884625,49,18,880,105880,48.888889,1.500131,*C,*C
poly_773,cv_9.csv,9-0-413593950-0,CCC(COC(=O)*)NCCO*,2.4772538364038572e-08,150,1.5,100000,159.185,24,4,23877.75,3600,287.088,16,35.816625,36,24,860,100160,35.833333,1.5007,*C,*C
poly_774,cv_9.csv,9-0-413636300-0,CCC(CC)(CNC(=O)CCNC(=O)*)N*,7.536392602081926e-09,150,1.5,100000,213.281,34,4,31992.15,5100,287.088,16,47.988225,48,18,864,105624,48,1.500368,*C,*C
